City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Matara,LK,5.9485,80.5353,75.67,90,87,3.29,overcast clouds
70,Bowen,AU,-20.0167,148.2333,83.16,68,72,9.84,broken clouds
71,Tasiilaq,GL,65.6145,-37.6368,28.56,90,100,10.71,light snow
72,Guangyuan,CN,32.442,105.823,51.31,83,100,0.76,overcast clouds
73,Tuktoyaktuk,CA,69.4541,-133.0374,-6.09,96,100,16.82,light snow
74,Farah,AF,32.5,62.5,47.98,37,6,1.77,clear sky
75,La Asuncion,VE,11.0333,-63.8628,78.57,87,10,9.48,clear sky
76,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,4.61,clear sky
77,Rutana,BI,-3.8667,30.1,56.01,89,79,2.71,broken clouds
78,Codrington,AU,-38.2667,141.9667,65.59,52,0,9.73,clear sky
79,Champerico,GT,14.3,-91.9167,80.37,73,96,3.36,overcast clouds
80,Sterling,US,39.0062,-77.4286,41.79,54,90,3.44,overcast clouds
81,Tessalit,ML,20.1986,1.0114,74.5,22,5,4.52,clear sky
82,Koumac,NC,-20.5667,164.2833,83.16,67,54,6.15,broken clouds
83,Yellowknife,CA,62.456,-114.3525,-9.22,96,22,4.12,few clouds
84,Novokayakent,RU,42.3937,47.9861,46.45,79,100,2.35,overcast clouds
85,Bubaque,GW,11.2833,-15.8333,82.71,70,71,12.8,broken clouds
86,East London,ZA,-33.0153,27.9116,63.46,90,6,4.92,clear sky
87,Bredasdorp,ZA,-34.5322,20.0403,64.98,72,42,14.85,scattered clouds
88,Kudahuvadhoo,MV,2.6708,72.8944,81.37,71,99,17.07,overcast clouds
89,Ixtapa,MX,20.7,-105.2,79.83,74,90,5.75,overcast clouds
90,Barrow,US,71.2906,-156.7887,-11.18,70,40,0.0,haze
91,Kodiak,US,57.79,-152.4072,17.11,62,20,11.5,few clouds
92,Lucapa,AO,-8.4192,20.7447,64.9,97,100,1.25,light rain
93,Mahebourg,MU,-20.4081,57.7,71.89,88,20,5.75,few clouds
94,Fortuna,US,40.5982,-124.1573,58.12,100,1,0.0,clear sky
95,Sao Gotardo,BR,-19.3111,-46.0489,64.02,92,6,4.65,clear sky
96,Port Blair,IN,11.6667,92.75,81.86,74,26,13.98,scattered clouds
97,Zhigansk,RU,66.7697,123.3711,-1.62,98,100,6.82,overcast clouds
98,Lebu,CL,-37.6167,-73.65,52.57,78,0,17.31,clear sky
99,Tautira,PF,-17.7333,-149.15,84.22,76,25,16.49,light rain
100,Alenquer,BR,-1.9417,-54.7383,79.14,71,21,2.04,few clouds
101,Aktash,RU,50.3,87.7333,-4.09,90,73,4.32,broken clouds
102,Calvinia,ZA,-31.4707,19.776,53.24,82,100,10.11,overcast clouds
103,Alpena,US,45.0617,-83.4327,28.54,93,90,0.0,light snow
104,Honningsvag,NO,70.9821,25.9704,24.55,72,27,24.05,scattered clouds
105,Imbituba,BR,-28.24,-48.6703,73.29,92,69,9.08,broken clouds
106,Vaini,TO,-21.2,-175.2,84.36,84,75,14.97,light rain
107,Nikolskoye,RU,59.7035,30.7861,28.29,89,100,11.86,light snow
108,Ovre Ardal,NO,61.3167,7.8,18.77,94,100,3.94,overcast clouds
109,Djibo,BF,14.1022,-1.6306,78.8,16,9,8.72,clear sky
110,Jhalawar,IN,24.6,76.15,63.82,44,5,5.46,clear sky
111,Richards Bay,ZA,-28.783,32.0377,65.7,78,16,17.6,light rain
112,Douglas,US,41.3,-96.167,49.3,57,1,9.22,clear sky
113,Cayenne,GF,4.9333,-52.3333,80.64,83,20,0.0,few clouds
114,Sorland,NO,67.667,12.6934,35.58,70,100,25.66,light rain
115,Bethel,US,41.3712,-73.414,34.16,47,1,5.75,clear sky
116,Excelsior Springs,US,39.3392,-94.2261,56.17,38,1,8.05,clear sky
117,Port Lincoln,AU,-34.7333,135.8667,64.89,64,0,9.35,clear sky
118,Kiama,AU,-34.6833,150.8667,61.29,78,93,12.57,overcast clouds
119,Severo-Kurilsk,RU,50.6789,156.125,29.26,65,80,29.59,broken clouds
120,Arraial Do Cabo,BR,-22.9661,-42.0278,71.87,92,91,9.71,overcast clouds
121,Carauari,BR,-4.8828,-66.8958,75.7,96,94,2.08,overcast clouds
122,Kavieng,PG,-2.5744,150.7967,84.25,67,97,2.53,overcast clouds
123,Ponta Do Sol,PT,32.6667,-17.1,63.23,77,23,5.46,few clouds
124,Dharchula,IN,29.85,80.5333,48.83,30,0,6.82,clear sky
125,Bontang,ID,0.1333,117.5,79.57,88,100,7.14,moderate rain
126,Thompson,CA,55.7435,-97.8558,16.14,82,34,12.1,scattered clouds
127,Hermanus,ZA,-34.4187,19.2345,64.56,83,96,16.8,overcast clouds
128,Pimentel,PE,-6.8367,-79.9342,66.13,84,95,14.99,overcast clouds
129,Staronizhestebliyevskaya,RU,45.3767,38.4517,48.49,65,100,14.5,overcast clouds
130,Chingirlau,KZ,51.095,54.0814,21.69,79,89,10.69,overcast clouds
131,Bengkulu,ID,-3.8004,102.2655,78.24,82,99,3.53,overcast clouds
132,Praia,CV,14.9215,-23.5087,75.74,73,40,18.41,scattered clouds
133,Sinnamary,GF,5.3833,-52.95,78.08,88,96,9.08,overcast clouds
