City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mar Del Plata,AR,2021-11-25 23:19:25,-38.0023,-57.5575,66.22,86,0,1.99
59,Lakes Entrance,AU,2021-11-25 23:19:25,-37.8811,147.981,59.58,87,100,17.49
60,Mataura,NZ,2021-11-25 23:19:25,-46.1927,168.8643,56.26,81,100,3.27
61,Barcelona,ES,2021-11-25 23:19:21,41.3888,2.159,51.48,76,20,5.99
62,Vila Velha,BR,2021-11-25 23:19:26,-20.3297,-40.2925,75.15,79,75,3.44
63,Marawi,PH,2021-11-25 23:19:27,7.9986,124.2928,66.65,91,99,1.54
64,Vanavara,RU,2021-11-25 23:19:27,60.34,102.2797,6.22,99,100,2.71
65,Sangar,RU,2021-11-25 23:19:27,63.9242,127.4739,-10.8,88,100,6.04
66,Anadyr,RU,2021-11-25 23:19:28,64.75,177.4833,-10.7,84,75,11.18
67,Bluff,NZ,2021-11-25 23:19:28,-46.6,168.3333,50.68,91,100,13.15
68,Ungheni,MD,2021-11-25 23:19:29,47.2042,27.7958,40.28,75,0,6.91
69,Ilulissat,GL,2021-11-25 23:19:29,69.2167,-51.1,24.82,54,99,11.5
70,Nha Trang,VN,2021-11-25 23:19:30,12.25,109.1833,77.0,87,100,8.43
71,Betare Oya,CM,2021-11-25 23:19:30,5.6,14.0833,68.41,48,33,2.64
72,Cape Town,ZA,2021-11-25 23:19:31,-33.9258,18.4232,66.11,58,0,13.8
73,Port Alfred,ZA,2021-11-25 23:19:31,-33.5906,26.891,64.22,73,100,22.5
74,Airai,TL,2021-11-25 23:19:31,-8.9266,125.4092,67.24,82,70,0.56
75,Cidreira,BR,2021-11-25 23:19:32,-30.1811,-50.2056,69.58,98,100,2.26
76,Port-Cartier,CA,2021-11-25 23:19:33,50.0334,-66.8654,36.75,81,97,1.95
77,Merauke,ID,2021-11-25 23:19:33,-8.4667,140.3333,82.72,70,85,5.82
78,Deer Lake,CA,2021-11-25 23:19:34,49.1667,-57.4316,46.26,87,90,8.05
79,Acajutla,SV,2021-11-25 23:19:34,13.5928,-89.8275,91.74,63,70,5.59
80,Nikolskoye,RU,2021-11-25 23:19:35,59.7035,30.7861,40.87,96,100,12.86
81,Nanortalik,GL,2021-11-25 23:19:35,60.1432,-45.2371,38.79,96,100,8.86
82,Bardiyah,LY,2021-11-25 23:19:35,31.7561,25.0865,65.79,66,70,10.63
83,Lyuban,BY,2021-11-25 23:19:36,52.7985,28.0048,33.28,82,28,13.85
84,Saint George,US,2021-11-25 23:16:03,37.1041,-113.5841,60.64,19,1,1.01
85,Iqaluit,CA,2021-11-25 23:19:37,63.7506,-68.5145,22.73,74,40,9.22
86,Biak,ID,2021-11-25 23:19:37,-0.9131,122.8766,78.42,80,99,1.39
87,Katsuura,JP,2021-11-25 23:19:38,35.1333,140.3,57.18,61,0,8.16
88,Keti Bandar,PK,2021-11-25 23:19:38,24.1447,67.4497,75.0,72,0,5.68
